player_name,2021 (Rocket Mortgage Classic),2022 (Rocket Mortgage Classic),2023 (Rocket Mortgage Classic),2024 (Rocket Mortgage Classic),2025 (Rocket Classic),rounds_played,historical_true_sg,versus_expected,ch_adjustment,experience_adjustment
"Malnati, Peter",CUT,73,T9,74,T41,24,-0.214,0.176,0.016,0.098
"Kirk, Chris",T12,T17,T14,T44,T2,24,1.596,1.168,0.105,0.098
"Spaun, J.J.",T32,T8,T33,T10,null,24,1.329,1.473,0.133,0.098
"Fowler, Rickie",T32,CUT,1,T31,CUT,24,0.668,-0.082,-0.007,0.098
"Davis, Cam",1,T14,T17,1,CUT,22,1.128,0.898,0.074,0.086
"Schenk, Adam",T41,CUT,7,CUT,CUT,22,0.531,0.457,0.038,0.086
"Hossler, Beau",T25,T69,CUT,T31,T60,22,-0.378,-0.395,-0.033,0.086
"Whaley, Vince",T58,T17,T40,T57,T32,22,0.145,0.256,0.021,0.086
"Bradley, Keegan",T14,T44,T21,null,T41,20,0.799,-0.082,-0.006,0.075
"Kizzire, Patton",T25,74,CUT,T20,CUT,20,-0.661,-0.381,-0.029,0.075
"Simpson, Webb",CUT,T69,CUT,CUT,T51,18,-0.162,-0.658,-0.045,0.064
"Hubbard, Mark",CUT,CUT,CUT,T52,T13,18,0.59,0.293,0.02,0.064
"Wallace, Matt",null,T10,T78,CUT,T46,18,0.275,0.177,0.012,0.064
"Kim, Si Woo",T58,T14,null,null,84,18,-0.442,-1.03,-0.07,0.064
"Ghim, Doug",T32,CUT,T33,CUT,T19,18,-0.054,-0.298,-0.02,0.064
"Rodgers, Patrick",T41,T44,null,T31,CUT,18,0.162,-0.122,-0.008,0.064
"Im, Sungjae",T8,null,T24,null,null,16,1.111,0.211,0.013,0.053
"Griffin, Lanto",T25,null,CUT,CUT,T51,16,0.195,0.208,0.013,0.053
"Lower, Justin",null,T30,8,T25,T46,16,1.028,1.389,0.084,0.053
"Garnett, Brice",CUT,CUT,T47,CUT,CUT,16,-0.31,0.047,0.003,0.053
"Thompson, Davis",T58,null,T24,T2,T34,16,1.042,0.672,0.04,0.053
"Snedeker, Brandt",T38,null,CUT,CUT,CUT,16,-0.214,0.006,0,0.053
"Matsuyama, Hideki",WD,null,CUT,null,T13,15,1.048,-0.202,-0.011,0.047
"Jaeger, Stephan",null,5,T9,CUT,CUT,14,0.623,0.332,0.017,0.041
"Dahmen, Joel",T21,CUT,CUT,T25,CUT,14,-0.666,-0.545,-0.029,0.041
"Svensson, Adam",null,T24,T40,CUT,CUT,14,-0.092,-0.095,-0.005,0.041
"Kim, Michael",CUT,null,null,T52,T26,14,-1.238,-0.604,-0.032,0.041
"Riley, Davis",null,CUT,T33,T57,T67,14,-0.24,-0.265,-0.014,0.041
"Glover, Lucas",T41,CUT,T4,null,null,14,1.162,0.92,0.048,0.041
"Lebioda, Hank",T4,CUT,T64,null,null,14,-0.093,0.325,0.017,0.041
"Moore, Taylor",null,6,T4,T10,CUT,14,2.038,1.83,0.096,0.041
"Higgo, Garrick",T41,CUT,T33,CUT,CUT,14,-0.474,-0.332,-0.017,0.041
"Griffin, Ben",null,null,T33,T31,T13,12,1.055,0.486,0.022,0.03
"Hojgaard, Nicolai",null,null,T21,66,T24,12,0.722,0.578,0.026,0.03
"Hodges, Lee",null,T44,CUT,CUT,T34,12,0.005,-0.225,-0.01,0.03
"Todd, Brendon",CUT,null,T56,CUT,null,12,-0.462,-0.793,-0.036,0.03
"Pendrith, Taylor",null,T2,T14,T72,null,12,1.297,0.857,0.039,0.03
"Ramey, Chad",null,CUT,T17,CUT,T26,12,0.524,0.917,0.041,0.03
"Power, Seamus",T8,null,null,null,CUT,12,-0.221,0.108,0.005,0.03
