time_period,stat,player_name,50_100_fw_shot_count,50_100_fw_value,100_150_fw_shot_count,100_150_fw_value,150_200_fw_shot_count,150_200_fw_value,over_200_fw_shot_count,over_200_fw_value,under_150_rgh_shot_count,under_150_rgh_value,over_150_rgh_shot_count,over_150_rgh_value
l12_months,proximity (ft),"Manassero, Matteo",null,null,39,16.2,62,35.2,null,null,15,33.1,null,null
l12_months,proximity (ft),"Fitzpatrick, Alex",40,16.7,98,17.5,172,28.9,92,39.9,42,31.9,40,72.7
l12_months,proximity (ft),"Hovland, Viktor",78,17.1,232,17.5,416,26.2,225,45.9,89,39.4,122,63.9
l12_months,proximity (ft),"Cantlay, Patrick",81,15.3,235,18.3,372,29.8,192,42.4,123,38.1,112,62.7
l12_months,proximity (ft),"Conners, Corey",76,17,331,18.4,498,28.2,244,40.9,107,36.5,127,67.6
l12_months,proximity (ft),"Morikawa, Collin",72,15.1,257,18.7,381,29,181,42,94,39.6,91,62.9
l12_months,proximity (ft),"Keefer, Johnny",93,15.9,262,18.8,346,29.6,144,44.8,140,36.6,104,62.7
l12_months,proximity (ft),"Henley, Russell",89,16.3,287,18.8,459,28.5,210,47.1,87,32.5,89,66.2
l12_months,proximity (ft),"Bridgeman, Jacob",105,17.4,357,19,505,28.9,263,49.2,133,38,163,62
l12_months,proximity (ft),"Kim, Si Woo",107,17.3,308,19,507,25.7,278,38.7,114,39,133,67.4
l12_months,proximity (ft),"Burns, Sam",133,14.8,346,19,450,30.2,223,46.3,139,41.2,138,66.1
l12_months,proximity (ft),"Kohles, Ben",46,16,196,19,259,29.8,134,40,43,34.4,47,58.3
l12_months,proximity (ft),"Onishi, Kaito",19,20.5,55,19.1,77,33.2,33,37.4,31,43.7,21,54.8
l12_months,proximity (ft),"Rai, Aaron",62,22.9,267,19.1,405,28.9,202,44.2,57,37.9,73,68.7
l12_months,proximity (ft),"Covello, Vince",16,17.5,48,19.1,60,31.9,null,null,39,36.7,null,null
l12_months,proximity (ft),"Kirk, Chris",75,17,237,19.2,348,30,160,41.8,120,40.5,110,62.1
l12_months,proximity (ft),"Straka, Sepp",79,15.7,244,19.2,410,28.7,188,43.7,96,40.1,124,65.5
l12_months,proximity (ft),"Simpson, Webb",41,14.8,125,19.2,170,32.6,69,38.2,69,41,69,75.3
l12_months,proximity (ft),"Aberg, Ludvig",75,17.3,288,19.2,405,29.9,194,41.8,123,37.6,106,58.7
l12_months,proximity (ft),"Bhatia, Akshay",95,16.8,293,19.3,443,28,227,43.4,154,37,161,55.4
l12_months,proximity (ft),"Scheffler, Scottie",111,14.9,312,19.3,433,27.3,224,40.8,107,39.1,131,59.1
l12_months,proximity (ft),"Fox, Ryan",68,17.4,276,19.3,331,31.7,177,41.3,125,30.7,151,58.5
l12_months,proximity (ft),"Hoge, Tom",126,16.4,332,19.4,481,30.4,235,41,164,34.9,188,57.7
l12_months,proximity (ft),"Harman, Brian",105,14.9,306,19.4,488,29.8,265,44.4,146,39.2,137,64.9
l12_months,proximity (ft),"Hojgaard, Nicolai",86,14.3,247,19.4,351,29.7,174,42.1,147,40.2,149,56.3
l12_months,proximity (ft),"Jarvis, Casey",19,10.6,47,19.5,85,29.9,39,53.2,18,45.2,30,56.8
l12_months,proximity (ft),"Rose, Justin",72,13.6,236,19.6,367,28.5,203,47.4,88,32,118,66.6
l12_months,proximity (ft),"Bradley, Keegan",89,18.1,296,19.6,460,29.9,236,43.5,150,37.1,124,67
l12_months,proximity (ft),"McNealy, Maverick",112,18.1,307,19.6,442,31.7,244,44.4,165,37.9,160,63.5
l12_months,proximity (ft),"Casey, Paul",46,17.4,152,19.7,189,25.8,100,41.6,66,46.9,58,55.6
l12_months,proximity (ft),"Bramlett, Joseph",15,19.9,53,19.7,73,30.2,null,null,29,43.5,null,null
l12_months,proximity (ft),"Thomas, Justin",76,18.4,250,19.8,391,32,180,42.7,146,38.1,116,54.2
