playerName,dg_id,tier,vtsFinal,prePenaltyVTS,penaltyTotal,neutralSkillSG,neutralSkillIndex,venueFitScore,venueFitDelta,venueHistoryRounds,venueHistorySG,venueHistoryDelta,blendClass,winPct,top5Pct,top10Pct,top20Pct,makeCutPct,missCutPct,sgOTT_L12,sgAPP_L12,sgARG_L12,sgPUTT_L12,sgTotal_L12,dgFinalPrediction,dgCourseFitAdj,country,owgr,formTrend,volatilityIndex,datadepthClass,hardGateTriggered,isDebut,bettingUseCase,fragility
Scottie Scheffler,18417,T1,2.83,3.08,-0.25,2.7012,88.5,0.8966,0.947,0,,0.0,0-2,8.4,33.8,56.2,95.9,96.8,3.2,0.758,1.028,0.376,0.522,2.683,2.597,-0.13,USA,1,cool,high,DEEP,False,True,Win,Low
Rory McIlroy,10091,T1,2.379,2.379,0.0,2.0832,78.9,0.6709,0.701,4,2.806,0.108,3-4,4.78,20.5,35.8,63.7,94.7,5.3,0.974,0.575,0.194,0.399,2.142,2.146,-0.344,NIR,2,neutral,high,DEEP,False,False,Win,Low
Matt Fitzpatrick,17646,T1,2.299,2.299,0.0,1.9835,77.3,0.6895,0.879,4,0.806,-0.177,3-4,4.32,18.7,33.0,59.2,94.3,5.7,0.283,0.913,0.461,0.288,1.945,2.202,-0.014,ENG,3,neutral,standard,DEEP,False,False,Win,Low
Tommy Fleetwood,12294,T1,2.153,2.143,0.01,1.8474,75.2,0.6041,0.794,4,1.306,-0.081,3-4,3.6,15.9,28.6,51.8,93.3,6.7,0.559,0.642,0.314,0.33,1.846,2.258,-0.002,ENG,9,warm,standard,DEEP,False,False,Win,Low
Jon Rahm,19195,T1,2.06,2.09,-0.03,1.8657,75.5,0.6504,0.71,4,0.806,-0.159,3-4,3.21,14.4,26.0,47.6,92.6,7.4,0.798,0.651,0.27,0.215,1.935,1.849,-0.218,ESP,11,cool,high,DEEP,False,False,Win,Low
Si Woo Kim,14609,T1,1.839,1.879,-0.04,1.5986,71.3,0.6017,0.702,2,0.025,0.0,0-2,2.43,11.2,20.9,39.0,90.7,9.3,0.527,0.753,0.235,0.121,1.635,1.596,0.043,KOR,21,neutral,standard,DEEP,False,False,Win,Low
Viktor Hovland,18841,T2,1.743,1.823,-0.08,1.5021,69.8,0.6072,0.757,0,,0.0,0-2,2.16,10.1,19.0,35.7,89.8,10.2,0.463,0.804,0.183,0.198,1.647,1.747,-0.045,NOR,12,neutral,standard,DEEP,False,True,Top5,Low
Sam Burns,19483,T2,1.708,1.898,-0.19,1.7096,73.0,0.5016,0.472,0,,0.0,0-2,2.07,9.7,18.3,34.6,89.4,10.6,0.361,0.582,0.075,0.623,1.641,1.239,-0.139,USA,18,hot,standard,DEEP,False,True,Top5,Low
Ludvig Aberg,23950,T2,1.682,1.842,-0.16,1.5423,70.4,0.6041,0.704,0,,0.0,0-2,2.0,9.4,17.8,33.8,89.1,10.9,0.597,0.743,0.122,0.222,1.683,1.517,-0.194,SWE,20,cold,standard,DEEP,False,True,Top5,Low
Collin Morikawa,22085,T2,1.639,1.859,-0.22,1.6011,71.3,0.6047,0.645,0,,0.0,0-2,1.89,9.0,17.1,32.5,88.6,11.4,0.545,0.81,0.064,0.194,1.613,1.398,0.002,USA,7,neutral,standard,DEEP,False,True,Top5,Low
Xander Schauffele,19895,T2,1.637,1.717,-0.08,1.4913,69.6,0.5644,0.624,4,1.806,0.047,3-4,1.89,9.0,17.0,32.4,88.6,11.4,0.683,0.609,0.155,0.185,1.632,1.677,-0.204,USA,14,cold,standard,DEEP,False,False,Top5,Low
Wyndham Clark,23604,T2,1.58,1.77,-0.19,1.61,71.5,0.4208,0.401,0,,0.0,0-2,1.76,8.4,16.1,30.8,87.9,12.1,0.086,0.444,0.381,0.58,1.491,1.342,-0.117,USA,8,hot,standard,DEEP,False,True,Top5,Low
Russell Henley,14578,T2,1.579,1.609,-0.03,1.4436,68.9,0.4372,0.497,4,1.056,-0.058,3-4,1.76,8.4,16.1,30.8,87.9,12.1,0.386,0.518,0.134,0.246,1.284,1.33,0.137,USA,5,cool,standard,DEEP,False,False,Top5,Low
Cameron Young,26651,T2,1.545,1.845,-0.3,1.6082,71.4,0.5812,0.591,0,,0.0,0-2,1.68,8.1,15.5,29.8,87.5,12.5,0.623,0.652,0.207,0.185,1.667,1.363,-0.169,USA,4,cold,standard,DEEP,False,True,Top5,Low
Chris Gotterup,27774,T2,1.501,1.721,-0.22,1.5442,70.4,0.5131,0.443,0,,0.0,0-2,1.59,7.7,14.9,28.7,86.9,13.1,0.643,0.513,0.053,0.414,1.624,1.292,-0.269,USA,6,neutral,high,DEEP,False,True,Top5,Low
Robert MacIntyre,23323,T2,1.491,1.571,-0.08,1.3662,67.7,0.3841,0.464,0,,0.0,0-2,1.57,7.6,14.7,28.4,86.8,13.2,0.35,0.356,0.162,0.467,1.334,1.646,-0.047,SCO,15,neutral,standard,DEEP,False,True,Top10,Medium
Justin Thomas,14139,T2,1.463,1.493,-0.03,1.3178,66.9,0.429,0.439,2,-0.475,0.0,0-2,1.52,7.4,14.3,27.7,86.5,13.5,0.275,0.383,0.46,0.337,1.455,1.281,-0.077,USA,19,warm,standard,DEEP,False,False,Top10,Medium
Patrick Cantlay,15466,T2,1.427,1.647,-0.22,1.4295,68.7,0.5343,0.544,0,,0.0,0-2,1.45,7.1,13.8,26.8,86.0,14.0,0.36,0.708,0.234,0.145,1.447,1.351,-0.066,USA,38,neutral,standard,DEEP,False,True,Top10,Medium
Min Woo Lee,16841,T2,1.409,1.49,-0.08,1.2333,65.6,0.5035,0.603,0,,0.0,0-2,1.42,7.0,13.6,26.4,85.7,14.3,0.637,0.468,0.256,0.175,1.535,1.318,-0.231,AUS,24,neutral,high,DEEP,False,True,Top10,Medium
Maverick McNealy,18634,T2,1.365,1.405,-0.04,1.2678,66.1,0.3324,0.342,2,-2.975,0.0,0-2,1.35,6.6,13.0,25.3,85.1,14.9,0.163,0.255,0.352,0.516,1.286,0.885,-0.105,USA,39,neutral,standard,DEEP,False,False,Top10,Medium
Alex Fitzpatrick,25362,T2,1.362,1.412,-0.05,1.1357,64.1,0.4711,0.631,0,,0.0,0-2,1.34,6.6,12.9,25.3,85.1,14.9,0.436,0.635,0.085,0.055,1.212,1.288,-0.008,ENG,65,hot,standard,DEEP,False,True,Top10,Medium
Tyrrell Hatton,14796,T2,1.359,1.369,-0.01,1.1596,64.4,0.3593,0.479,2,-2.475,0.0,0-2,1.34,6.6,12.9,25.2,85.0,15.0,0.186,0.435,0.2,0.283,1.105,1.433,-0.071,ENG,22,hot,standard,DEEP,False,False,Top10,Medium
J.J. Spaun,17536,T2,1.342,1.562,-0.22,1.3316,67.1,0.5352,0.575,0,,0.0,0-2,1.31,6.5,12.7,24.8,84.8,15.2,0.363,0.808,0.12,-0.014,1.277,1.128,-0.006,USA,13,neutral,standard,DEEP,False,True,Top10,Medium
Ben Griffin,24968,T2,1.297,1.507,-0.21,1.363,67.6,0.4005,0.361,0,,0.0,0-2,1.24,6.2,12.1,23.8,84.1,15.9,0.151,0.384,0.37,0.535,1.44,1.139,-0.033,USA,16,warm,standard,DEEP,False,True,Top10,Medium
Shane Lowry,13900,T2,1.27,1.31,-0.04,1.0444,62.6,0.4491,0.609,2,-1.975,0.0,0-2,1.19,6.0,11.8,23.2,83.7,16.3,0.299,0.737,-0.004,-0.031,1.001,1.416,0.016,IRL,46,neutral,standard,DEEP,False,False,Top10,Medium
Bryson DeChambeau,19841,T2,1.251,1.321,-0.07,1.1943,65.0,0.3881,0.318,2,-3.475,0.0,0-2,1.17,5.8,11.6,22.8,83.4,16.6,0.869,0.253,-0.047,0.162,1.237,0.81,-0.306,USA,37,cool,high,DEEP,False,False,Top10,Medium
Aaron Rai,18554,T2,1.224,1.274,-0.05,1.0079,62.1,0.4396,0.61,0,,0.0,0-2,1.13,5.7,11.3,22.3,83.0,17.0,0.345,0.612,0.183,-0.067,1.073,1.334,0.16,ENG,17,hot,standard,DEEP,False,True,Top10,Medium
Joaquin Niemann,18079,T2,1.218,1.408,-0.19,1.1817,64.8,0.5651,0.565,0,,0.0,0-2,1.12,5.6,11.2,22.2,82.9,17.1,0.65,0.749,-0.012,0.046,1.433,1.069,-0.203,CHI,48,hot,high,DEEP,False,True,Top10,Medium
Justin Rose,6093,T3,1.194,1.194,0.0,1.1257,63.9,0.3875,0.478,8,0.085,-0.312,5+,1.09,5.5,10.9,21.7,82.5,17.5,0.235,0.567,0.106,0.077,0.985,1.354,-0.045,ENG,10,neutral,standard,DEEP,False,False,Top20,Medium
Hideki Matsuyama,13562,T3,1.073,1.103,-0.03,0.9523,61.2,0.33,0.36,4,2.056,0.166,3-4,0.93,4.8,9.7,19.4,80.4,19.6,-0.022,0.476,0.33,0.134,0.918,0.859,0.007,JPN,31,cool,standard,DEEP,False,False,Top20,Medium
Akshay Bhatia,26096,T3,1.055,1.275,-0.22,1.1562,64.4,0.3277,0.298,0,,0.0,0-2,0.91,4.7,9.5,19.1,80.1,19.9,-0.004,0.44,0.14,0.528,1.103,0.76,-0.015,USA,29,neutral,standard,DEEP,False,True,Top20,Medium
Nicolai Hojgaard,23602,T3,1.047,1.157,-0.11,0.9777,61.6,0.389,0.419,0,,0.0,0-2,0.9,4.7,9.4,19.0,79.9,20.1,0.325,0.517,0.099,0.093,1.033,0.917,-0.272,DEN,35,cool,high,DEEP,False,True,Top20,Medium
Ryan Gerard,29767,T3,1.039,1.249,-0.21,1.0939,63.4,0.3789,0.389,0,,0.0,0-2,0.89,4.6,9.4,18.8,79.8,20.2,0.368,0.459,0.015,0.281,1.124,0.904,-0.032,USA,28,warm,standard,DEEP,False,True,Top20,Medium
Kurt Kitayama,21891,T3,1.029,1.249,-0.22,1.085,63.3,0.4394,0.409,0,,0.0,0-2,0.88,4.6,9.3,18.7,79.6,20.4,0.475,0.599,0.006,0.013,1.092,0.893,-0.163,USA,36,neutral,standard,DEEP,False,True,Top20,Medium
Harris English,14577,T3,1.017,1.237,-0.22,1.1371,64.1,0.2702,0.25,0,,0.0,0-2,0.87,4.5,9.2,18.5,79.4,20.6,0.276,0.161,0.193,0.449,1.079,1.152,-0.032,USA,32,neutral,standard,DEEP,False,True,Top20,Medium
Keegan Bradley,13872,T3,0.983,1.193,-0.21,1.0572,62.8,0.3604,0.34,0,,0.0,0-2,0.83,4.3,8.9,17.9,78.7,21.3,0.226,0.412,0.3,0.122,1.06,0.836,-0.102,USA,41,warm,standard,DEEP,False,True,Top20,Medium
Patrick Reed,14838,T3,0.97,1.0,-0.03,0.8696,59.9,0.2964,0.326,2,-0.975,0.0,0-2,0.82,4.3,8.7,17.7,78.5,21.5,-0.115,0.487,0.265,0.157,0.794,1.173,0.056,USA,26,warm,standard,DEEP,False,False,Top20,Medium
Tom Kim,24766,T3,0.942,1.132,-0.19,0.9388,61.0,0.4324,0.482,0,,0.0,0-2,0.79,4.1,8.5,17.2,77.9,22.1,0.116,0.667,0.193,0.135,1.111,1.258,0.03,KOR,33,hot,standard,DEEP,False,True,Top20,Medium
Kristoffer Reitan,21407,T3,0.934,1.014,-0.08,0.8746,60.0,0.2794,0.329,0,,0.0,0-2,0.78,4.1,8.4,17.1,77.8,22.2,0.562,0.207,-0.061,0.203,0.911,0.751,-0.14,NOR,27,neutral,standard,DEEP,False,True,Top20,Medium
Adam Scott,6430,T3,0.881,0.961,-0.08,0.7597,58.2,0.3179,0.388,8,1.585,0.248,5+,0.73,3.9,8.0,16.3,76.7,23.3,0.255,0.508,0.034,-0.123,0.675,0.911,-0.103,AUS,57,cold,standard,DEEP,False,False,MakeCut,Medium
Rickie Fowler,12965,T3,0.849,0.929,-0.08,0.8147,59.0,0.238,0.278,4,1.556,0.111,3-4,0.71,3.7,7.8,15.8,76.1,23.9,0.284,0.234,0.072,0.155,0.744,0.881,-0.009,USA,42,cold,standard,DEEP,False,False,MakeCut,Medium
Keith Mitchell,17365,T3,0.806,1.016,-0.21,0.9209,60.7,0.3285,0.239,0,,0.0,0-2,0.67,3.6,7.4,15.2,75.2,24.8,0.524,0.335,0.013,0.051,0.923,0.491,-0.154,USA,68,warm,standard,DEEP,False,True,MakeCut,Medium
Jacob Bridgeman,29433,T3,0.771,0.991,-0.22,0.8999,60.4,0.2775,0.228,0,,0.0,0-2,0.64,3.4,7.2,14.8,74.4,25.6,0.192,0.325,0.03,0.369,0.916,0.543,-0.017,USA,30,neutral,standard,DEEP,False,True,MakeCut,Medium
Bud Cauley,14502,T3,0.735,0.945,-0.21,0.7935,58.7,0.3787,0.379,0,,0.0,0-2,0.61,3.3,6.9,14.3,73.6,26.4,0.305,0.508,0.209,-0.092,0.93,0.698,-0.01,USA,40,warm,standard,DEEP,False,True,MakeCut,Medium
Brian Harman,8825,T3,0.729,0.769,-0.04,0.6868,57.0,0.2058,0.206,2,-0.975,0.0,0-2,0.61,3.3,6.9,14.2,73.5,26.5,-0.115,0.352,0.135,0.214,0.586,0.879,0.107,USA,64,neutral,standard,DEEP,False,False,MakeCut,Medium
Ryan Fox,11889,T3,0.717,0.747,-0.03,0.6317,56.2,0.1937,0.264,2,0.025,0.0,0-2,0.6,3.2,6.8,14.0,73.2,26.8,0.088,0.29,0.054,0.073,0.505,0.621,-0.111,NZL,56,warm,standard,DEEP,False,False,MakeCut,Medium
Jordan Spieth,14636,T3,0.715,0.795,-0.08,0.6227,56.0,0.2396,0.24,4,4.556,0.59,3-4,0.6,3.2,6.8,14.0,73.2,26.8,0.216,0.279,0.092,0.112,0.699,0.783,-0.094,USA,51,cold,standard,DEEP,False,False,MakeCut,Medium
