player_name,events_played,wins,x_wins,x_wins_majors,rounds_played,shotlink_played,putt_true,arg_true,app_true,ott_true,t2g_true,total_true
"Scheffler, Scottie",14,1,2.284,0.148,56,54,0.585901667,0.56462537,0.912449259,0.851982778,2.329057407,2.95682125
"Rahm, Jon",12,2,1.046,0.006,46,46,0.309539783,0.364335,0.75804587,0.801747391,1.924128261,2.233667391
"McIlroy, Rory",12,1,0.647,0.295,46,42,0.34037,0.262742381,0.643549524,1.026277143,1.932569048,2.147790435
"Fitzpatrick, Matt",16,3,1.639,0,64,62,0.044378065,0.700180968,0.950742419,0.443575806,2.094499194,2.091537344
"Morikawa, Collin",12,1,1.148,0.028,46,46,0.320361522,0.13009587,1.037098696,0.492657391,1.659851957,1.980211957
"Young, Cameron",14,2,2.227,0.065,56,55,0.133144182,0.326932909,0.691953818,0.817809636,1.836696364,1.963492857
"Schauffele, Xander",14,0,0.633,0.013,54,53,0.289481887,0.113310943,0.632778302,0.760896981,1.506986226,1.774577037
"Aberg, Ludvig",15,0,0.615,0.003,56,53,0.217926981,0.221226604,0.852150377,0.623967358,1.69734434,1.773179107
"Kim, Si Woo",19,0,1.237,0,74,67,-0.061759104,0.269293582,0.851876418,0.611637164,1.732807164,1.772400541
"Burns, Sam",16,0,0.844,0.061,58,56,0.826319643,-0.029299464,0.578928214,0.374775714,0.924404464,1.745081897
"Knapp, Jake",11,0,0.19,0.005,40,39,0.777368205,0.037169744,0.465723333,0.387243846,0.890136923,1.70151875
"Fleetwood, Tommy",16,0,1.171,0,62,62,0.241110484,0.438477258,0.41543129,0.604830323,1.458738871,1.699849032
"Gotterup, Chris",17,3,0.539,0,66,65,0.430710923,0.098535077,0.481946462,0.68745,1.267931538,1.688482273
"Henley, Russell",15,1,0.187,0.065,54,52,0.433976346,0.126137885,0.643729231,0.431167115,1.201034231,1.65175537
"Cantlay, Patrick",14,0,0.024,0.001,50,47,0.018048511,0.394393191,0.751025957,0.489829574,1.635248723,1.6313486
"Clark, Wyndham",17,2,1.939,0.077,62,59,0.422141186,0.491132881,0.557661525,0.097318644,1.146113051,1.529082258
"McNealy, Maverick",16,0,0.041,0,62,61,0.554114918,0.463918689,0.11112541,0.305252295,0.880296393,1.476245161
"Rose, Justin",14,1,1.01,0.065,49,46,0.177609565,0.139343043,0.8355,0.215849783,1.190692826,1.43151551
"Gerard, Ryan",20,0,1.787,0,74,67,0.397056866,-0.16506403,0.696146866,0.239054328,0.770137164,1.404208649
"Bridgeman, Jacob",18,1,1.018,0,70,68,0.691769853,-0.050597353,0.506214559,0.239436912,0.695054118,1.379315286
"Bhatia, Akshay",17,1,1.166,0,57,52,0.8050075,0.239345577,0.604865192,-0.068498846,0.775711923,1.37873386
"Reed, Patrick",11,2,0.355,0.001,40,32,0.230826562,0.458490313,0.7394675,0.116224063,1.314181875,1.321555
"English, Harris",16,0,0.017,0,60,57,0.735229649,0.119809474,-0.006162281,0.455754737,0.56940193,1.3192105
"Lowry, Shane",17,0,0.066,0,60,60,0.0726835,0.001308333,0.954381,0.2758075,1.231496833,1.304179
"Hovland, Viktor",16,1,0.53,0,58,58,0.091149828,0.261555517,0.74759069,0.189451207,1.198597414,1.289746552
"MacIntyre, Robert",16,0,0.473,0,58,56,0.643485179,0.132753036,-0.191096429,0.651215357,0.592871964,1.284207759
"Lee, Min Woo",17,0,0.619,0,62,52,0.036403654,0.299274808,0.294196923,0.6431525,1.236624231,1.280135645
"Scott, Adam",16,0,0.402,0,60,49,-0.096439796,0.042942041,0.878133878,0.431207551,1.352283469,1.278924333
"Thomas, Justin",12,0,0.091,0.003,46,46,0.115836304,0.605585435,0.282221304,0.261285,1.149091739,1.264927174
"Matsuyama, Hideki",16,0,0.337,0.001,64,63,0.160284286,0.413169683,0.636785714,-0.065515714,0.984439683,1.205402031
"Spaun, J.J.",17,1,0.279,0,54,53,-0.300806038,0.203015094,0.919871321,0.390439245,1.51332566,1.201443519
"Kitayama, Kurt",16,0,0.618,0,61,59,-0.036554407,-0.177225424,0.89589678,0.512143729,1.230815085,1.179737869
"Koivun, Jackson",12,6,0.282,0,37,6,-0.32281,0.137521667,-0.0073,0.48423,0.614451667,1.138319459
"Fitzpatrick, Alex",18,2,1.22,0,70,42,-0.001759762,0.068065238,0.89238881,0.564359048,1.524813095,1.136260857
"Griffin, Ben",20,0,0.058,0,72,70,0.494725571,0.514210714,0.040651143,0.057204714,0.612066571,1.121159444
"Hojgaard, Nicolai",18,0,0.6,0,64,63,0.146706667,0.123579048,0.501478889,0.29424254,0.919300476,1.090200156
"DeChambeau, Bryson",12,2,0.103,0,41,41,0.13136,-0.082742683,0.16809878,0.862292439,0.947648537,1.079007561
"Fowler, Rickie",17,0,0.261,0,58,56,0.342112857,-0.007400179,0.326507143,0.352891964,0.671998929,1.068353793
"Smalley, Alex",18,0,0.039,0.006,66,63,0.361224286,0.030554762,0.572682857,0.184434603,0.787672222,1.054285455
"Mitchell, Keith",19,0,0.027,0.002,72,69,-0.040603333,0.016904058,0.308671159,0.692674493,1.01824971,1.009165694
"Hatton, Tyrrell",12,1,0.259,0.066,46,46,-0.016555217,0.248006087,0.427842391,0.332314348,1.008162826,0.991607174
"Cauley, Bud",17,1,0.246,0,65,63,-0.191363492,0.384665556,0.51023873,0.274870476,1.169774762,0.981756154
"Reitan, Kristoffer",18,2,1.647,0,64,63,0.257260794,0.029764603,-0.002441746,0.666922063,0.694244921,0.968327188
"Noren, Alex",16,0,0.084,0,57,54,0.648250926,0.133827407,0.181698704,0.114433148,0.429959259,0.953341404
"Rai, Aaron",14,1,0.004,0.082,50,50,-0.0975924,0.23658,0.5530108,0.2602258,1.0498166,0.9522224
"Theegala, Sahith",20,0,0.108,0,78,75,0.127449467,0.432133067,0.2925828,0.023008133,0.747724,0.950882051
"Taylor, Nick",19,0,0.003,0,72,70,0.190210714,0.351785714,0.382223429,-0.022043714,0.711965429,0.948980139
"Cole, Eric",18,0,0.262,0,62,57,0.56626386,0.439424035,0.353832632,-0.466658772,0.326597895,0.926995806
"Bradley, Keegan",17,0,0.004,0,60,59,0.099167458,0.360950678,0.18901,0.263409492,0.813370169,0.897796833
"Koepka, Brooks",13,0,0.014,0.001,43,42,-0.133789286,0.075945714,0.588121667,0.325491667,0.989559048,0.873411395
"Spieth, Jordan",18,0,0.008,0.001,68,68,0.202281471,0.124397647,0.332362059,0.207198235,0.663957941,0.866238529
"Hillier, Daniel",15,1,0.033,0,50,36,0.113031944,-0.442643889,0.410705833,0.541121111,0.509183056,0.8576418
"Coody, Pierceson",19,0,0.091,0,65,62,0.295272581,-0.307524516,0.257612581,0.518007097,0.468095161,0.840076923
"Hisatsune, Ryo",21,0,0.123,0,82,75,-0.045791867,0.025621467,0.463954667,0.486463867,0.97604,0.837004634
"Detry, Thomas",15,0,0.01,0,54,54,0.37235037,-0.059583704,0.268421852,0.248642963,0.457481111,0.829830741
"Vincent, Scott",10,0,0.001,0,40,36,1.159016389,-0.019661944,-0.168926389,-0.117143889,-0.305732222,0.82705775
